tell me time of alarm you set,alarm_query,0.94
list all of my alarms,alarm_query,0.88
alarm settings,alarm_query,0.83
what alarms are set for today,alarm_query,0.95
please see see for me the alarms that you have set sunday morning,alarm_query,0.97
tell me when the next alarms are for,alarm_query,0.98
please tell me what alarms are on,alarm_query,0.97
please list all my alarms,alarm_query,0.91
what alarms are set right now,alarm_query,0.94
check whether i have set any alarms for tomorrow morning,alarm_query,0.85
tell me about my alarms,alarm_query,0.98
do i have any alarms set,alarm_query,0.95
is there an alarm at four am,alarm_set,0.96
show me my alarms,alarm_query,0.99
what alarm time had you set,alarm_query,0.95
can you tell me what alarms i have set,alarm_query,0.98
please let me know the morning alarm time kept for weekends,alarm_query,0.77
what time is the alarm set for tomorrow,alarm_query,0.91
may i know the about alarm you set,alarm_query,0.95
disable the alarm which is set at nine thirty pm,alarm_remove,0.52
delete scheduled alarm,alarm_remove,0.57
turn off my first alarm,alarm_remove,0.41
please cancel all alarms for tomorrow,alarm_remove,0.85
please delete the wednesday evening alarm,calendar_remove,0.42
please delete my morning alarm,alarm_remove,0.83
remove all of my alarms,alarm_remove,0.98
cancel alarm,alarm_remove,0.96
delete the alarm i just set,alarm_remove,0.59
could you please remove the set of alarms between eight and nine,alarm_remove,0.48
please turn off the alarm,alarm_remove,0.57
set an alarm for nine am,alarm_set,0.99
change alarm to start at midnight,alarm_set,0.58
alarm ten am,alarm_set,0.57
set an alarm for me for tomorrow,alarm_set,0.67
set an alarm for twelve,alarm_set,0.93
set a timer at five am seven days a week,alarm_set,0.47
i need to set an alarm for next friday at noon,alarm_set,0.73
please sound an alarm three hours before a scheduled event,alarm_set,0.54
can you set an alarm for seven am,alarm_set,0.99
alert me at ten am please,alarm_set,0.65
set the alarm to seven am for work,alarm_set,0.98
wake up time,alarm_remove,0.21
change my alarms to mountain time,alarm_query,0.56
set up each day an alarm at ten time for my meal,alarm_set,0.84
please set an alarm clock for my next meeting with the team at three pm next friday,calendar_set,0.79
set my alarm for six am,alarm_set,0.99
set an alarm for this eight hundred pm this evening,alarm_set,0.9
set alarm at six thirty am,alarm_set,0.98
make me a wake up alarm for eight forty five am,alarm_set,0.94
could you please lower the tone,audio_volume_down,0.87
please talk softer,audio_volume_mute,0.46
lower the speak volume,audio_volume_down,0.93
it is too loud decrease the volume,audio_volume_down,0.68
Turn down volume,audio_volume_down,0.99
reduce volume,audio_volume_down,0.98
lower the volume to twenty,audio_volume_down,0.99
lower volume by fifty percent,audio_volume_down,0.82
quiet please,audio_volume_mute,0.79
mute sound from speakers,audio_volume_down,0.8
please mute for five minutes,audio_volume_mute,0.99
mute my speakers for a minute here i need to make a call,cooking_recipe,0.14
mute speaker,audio_volume_up,0.76
silence volume on speakers,audio_volume_down,0.78
turn off media volume,audio_volume_down,0.93
i need you to be quiet until tomorrow,audio_volume_mute,0.53
go to sleep,alarm_remove,0.12
no notifications for five minutes,audio_volume_mute,0.91
turn off the sound,audio_volume_down,0.61
mute the music,audio_volume_mute,0.65
pause for ten seconds,audio_volume_mute,0.74
set mute for twenty minutes,audio_volume_mute,0.98
i need to mute the speaker,audio_volume_up,0.76
could you speak a little more softly,audio_volume_up,0.79
turn it up,audio_volume_up,0.37
just increase the volume a little,audio_volume_down,0.82
olly turn the volume up,audio_volume_down,0.57
raise volume to level seven on music player,audio_volume_up,0.54
i want the speakers turned up high,audio_volume_up,0.76
rise volume,audio_volume_down,0.73
please increase the volume of the music hips don't lie,audio_volume_down,0.47
raise the volume of my music player by fifty percent,audio_volume_up,0.87
speak as loud as you can,audio_volume_up,0.96
increase volume please,audio_volume_up,0.57
make this a bit louder,audio_volume_up,0.86
increase volume to fifty percent,audio_volume_up,0.55
when is the school dance junction marked,datetime_query,0.23
what is my schedule for tomorrow,calendar_query,0.77
am i available at five pm on sunday,calendar_query,0.55
do i have any notifications from social media,social_query,0.94
what do i have scheduled for next week,calendar_query,0.95
tell me the meetings i have for the week,calendar_query,0.81
do i have any openings on my schedule for tomorrow,calendar_query,0.98
do i need to pick up the kids from anything today,weather_query,0.27
is there anything i need to be aware of,general_dontcare,0.15
do i have any undone tasks,calendar_query,0.53
what is left for today,news_query,0.19
list out my upcoming events,calendar_query,0.75
one thousand two hundred and thirty pm already you will have a meeting in ten mins,calendar_set,0.67
is the meeting scheduled for tomorrow,calendar_query,0.9
when the birthday will be,calendar_query,0.4
when is my next appointment and who do i contact to reschedule,calendar_query,0.62
what is the plan for tonight,recommendation_events,0.4
what day of the week is my birthday this year,calendar_query,0.6
what is my schedule for june fourteenth two thousand and seventeen,qa_maths,0.53
remove the next event on my calendar,calendar_remove,0.87
format the calendar,calendar_remove,0.9
remove the board meeting and reschedule for next wednesday,calendar_remove,0.83
delete event from mine,calendar_remove,0.98
cancel the event valentine's day from the calendar,calendar_remove,0.94
remove my meeting today at one pm,calendar_remove,0.88
i no longer need to see the doctor can that event be removed,news_query,0.2
please remove march nineteenth's scheduled event,calendar_remove,0.97
make sure there is no events on my calendar,calendar_query,0.48
remove all the events on my calendar,calendar_remove,0.97
delete my meeting event for march nineteen at one pm,calendar_remove,0.75
remove upcoming task,alarm_remove,0.36
remove emma's birthday from events,calendar_remove,0.97
in my calendar delete all of my golf events for the current month,calendar_remove,0.92
erase calendar events,calendar_remove,0.89
take lunch meeting off my calendar,calendar_remove,0.48
delete all my events for tomorrow,calendar_remove,0.93
delete the party on june first from my calendar,calendar_remove,0.87
can to please clear my calendar of all events,calendar_remove,0.39
set a reminder for tomorrow evening,calendar_set,0.78
notify me when the event is going to take place,calendar_query,0.52
add jim and jerry to event,email_sendemail,0.3
make a repeating reminder for my yoga practice every day at noon,calendar_set,0.95
i have a meeting with sean at four pm on wednesday can you remind me,calendar_set,0.98
create an event gym day on monday and set it to repeat,calendar_set,0.83
blot me all the phone calls planned for the morning of twenty three march,alarm_set,0.14
can you remind me about my meeting tomorrow,calendar_query,0.54
repeat reminder for my schedule for christmas,calendar_set,0.68
remind me to call my grandma this Sunday,calendar_set,0.14
next week my uncle birthday,calendar_query,0.84
add running to my calendar for thursday,calendar_set,0.64
i would like to attend church every sunday at eleven am,calendar_set,0.43
see if john is available for a meeting on Monday,calendar_query,0.67
remind me about the meeting,calendar_query,0.43
set the alarm in my calendar events before five mins,alarm_set,0.55
activate a one week notification before my anniversary please,email_query,0.22
could you please schedule a meeting with this person,calendar_set,0.74
i have a meeting with al on march twenty first at ten,calendar_query,0.73
help me make brownies,cooking_recipe,0.72
crabmeat recipe,cooking_recipe,0.97
it should spices,cooking_recipe,0.55
tell how vegetable is cooked,cooking_recipe,0.96
learn to cut potatoes correctly,cooking_recipe,0.56
how to cook that meal,cooking_recipe,0.96
can i get a recipe for tuna,cooking_recipe,0.96
please cook me a hamburger,cooking_recipe,0.52
how to cook yellow rice,cooking_recipe,0.96
i need to know how to make stuffed peppers,cooking_recipe,0.92
how can i cook pasta,cooking_recipe,0.95
look for different recipes,cooking_recipe,0.92
what ingredient can be used instead of saffron,cooking_recipe,0.79
find apple pie recipe,cooking_recipe,1.0
do i have enough ingredients in my refrigerator,cooking_recipe,0.24
search for your favorite meal,takeaway_order,0.34
tell me the preparation method for chicken sixty five,cooking_recipe,0.59
i would like it to be able to find recipes i have,cooking_recipe,0.79
why do people use avocado seeds,cooking_recipe,0.37
if it's eight pm on the east coast what time is it in sacramento california,datetime_query,0.61
if it is four pm in missouri what time is it in london,datetime_convert,0.9
can you please change the time zone to us,datetime_convert,0.79
which time zone are we in please change to current,datetime_convert,0.75
please change time zone to canada,datetime_convert,0.9
what time will it be locally at nine am bangalore india time,datetime_convert,0.55
it is ten am in eastern standard time what time it is now it pacific standard time,datetime_convert,0.98
change mountain standard to pacific,iot_hue_lightchange,0.34
please tell me the date,datetime_query,0.71
date today,datetime_query,0.78
what is today,datetime_query,0.42
what is the time in geneva,datetime_query,0.97
let me know the time,datetime_query,0.93
new york time please,datetime_query,0.73
what is the time difference between here and dakar,datetime_convert,0.56
let me know the time in india,datetime_query,0.92
tell me the time in this time zone,datetime_query,0.87
which date is on next monday,calendar_query,0.36
tell me what time it is in dallas texas,datetime_query,0.85
what time is it in the other time zones,datetime_convert,0.6
hey what's the current time in austin,datetime_query,0.98
hey what is the time,datetime_query,0.98
could you tell me what time it is,datetime_query,0.89
what day of the week does the next holiday fall on,calendar_query,0.3
august fifteenth is what day of the week,calendar_query,0.4
can you tell me the date today,datetime_query,0.4
hey what's today's date,datetime_query,0.48
add dan's email,email_addcontact,0.85
add contacts n mail,email_addcontact,0.83
enter atdfd@yahoo dot com into my contact list,email_addcontact,0.87
get apahelp@yahoo dot com in my contacts,email_addcontact,0.93
save the email to my contact,email_addcontact,0.94
please add johndoe@yahoocom to my contact list,email_addcontact,0.96
add this new email,email_sendemail,0.46
add work email address,email_addcontact,0.94
are there any new emails from name,email_query,0.93
give me recent emails,email_query,0.97
refresh email,email_query,0.73
i need to know all of the emails from contact pertaining to subject,email_sendemail,0.47
open email,email_query,0.49
who has sent me an email in the past week,email_query,0.98
check emails for unread emails from mom,email_query,0.95
did any emails come for me in the last five hours,email_query,0.99
report what is new in my email inbox please,email_query,0.47
what is the subject and who is the sender of my last email,email_query,0.78
what did i tell susan in my last email,email_query,0.69
show me all the emails received recently,email_query,0.96
do i have any emails from jessica,email_query,0.74
are there any recent unread emails,email_query,0.97
do i have any new email from ryan,email_query,0.51
carlos linux upgrade email,email_query,0.51
my mail,email_addcontact,0.48
have i gotten any mail recently,email_query,0.94
check emails,email_query,0.97
what is sarah's number,email_querycontact,0.95
can you give me details on john,general_confirm,0.13
have you responded my phone calls,email_querycontact,0.31
what is jeff's number,email_querycontact,0.97
how many contacts are there named john,email_querycontact,0.83
tell me the contact details of my brother,email_querycontact,0.79
show mobile number of john,email_querycontact,0.52
does contact mona has an email as well,email_addcontact,0.27
show number and contact email of rehan,email_querycontact,0.37
look up for the residential address of my team leader,email_querycontact,0.17
what is my wife's email,email_querycontact,0.49
select the contact,email_querycontact,0.96
is this my sisters cellphone number,email_querycontact,0.76
how old is mary s.,qa_factoid,0.32
did mom text me,social_query,0.18
please let me know where david is travelling,qa_factoid,0.24
is hayden still living on turnpike lane,transport_traffic,0.42
add rebecca green to my list of favorite contacts,email_addcontact,0.48
what is jill's home phone number,email_querycontact,0.96
send a mail to whom to talk,email_sendemail,0.91
pull up kate's email and write that i will let her know,email_sendemail,0.63
please reply to my boss most recent email and say that the ppt will be ready in one hour maximum,email_sendemail,0.56
reply the email of charles with just thank you right now,general_praise,0.37
send new email to jana dot litt at gmail dot com,email_addcontact,0.51
hey please reply to last pawel's email,email_sendemail,0.59
send email to new email address,email_sendemail,0.8
send an email to my friend say birthday wishes,email_sendemail,0.77
send email to mom starting with the subject vacation,email_sendemail,0.87
jj.nzt@yahoo dot com,email_addcontact,0.91
email happy new year to john,email_sendemail,0.8
tell to joe's email that come to my house in this moment i am alone,email_sendemail,0.63
go to email and send message to,email_sendemail,0.98
email john smith,email_sendemail,0.93
start a new email to george brown,email_sendemail,0.9
send a replay email,email_sendemail,0.98
send reply to joe,email_sendemail,0.96
email tom the date and time of tomorrow's meeting,calendar_remove,0.22
add mail id subject content,email_addcontact,0.66
fantastic response.,general_affirm,0.65
yeap you've gotten my instructions perfectly.,general_affirm,0.9
yeah wonderful response.,general_affirm,0.92
yeah exact response to the command.,general_affirm,0.96
